시군명,공원명칭,도로명주소,전화번호,휴무일,이용시간,주차시설,주변명소
양구군,DMZ자생식물원,강원도 양구군 펀치볼로 916-70,033-480-3034,연중개방,상시이용 가능,주차가능,"국토정중앙천문대, 양구생태식물원, 광치자연휴양림"
삼척시,수로부인 헌화공원,강원도 삼척시 원덕읍 임원항구로 33-17,033-570-3841,,상시이용 가능,주차가능,"임원항, 임원해수욕장, 검봉산"
영월군,아트미로공원,강원도 영월군 김삿갓면 영월동로 1121-32,033-372-6871,연중무휴,하절기 09:00~18:00 / 동절기 09:00~17:00,주차가능,"고씨동굴, 술샘박물관, 김삿갓 문학관"
인제군,내린천수변공원,강원도 인제군 인제읍 내린천로 5693,033-460-2170(인제관광정보센터),,상시이용 가능,,"내린천 계곡, 짚트랙, 내린천 홍보관"
철원군,군탄공원과 전적비,강원도 철원군 갈말읍 호국로 4914-27,033-450-5058,,상시이용 가능,주차가능,"고석정, 한탄강, 철원노동당사"
평창군,이효석 가산공원,강원도 평창군 봉평면 효석문학길 9-5,033-330-2541,연중무휴,상시이용 가능,,"이효석 생가, 이효석 문학관, 이효석 문학의 숲"
정선군,하늘숲공원,강원 정선군 고한읍 고한리 산 216-34,1544-9053,,상시이용 가능,주차가능,"태백고원자연휴양림, 모터스포츠레져단지, 태백산"
화천군,겨례리수목공원,강원도 화천군 하남면 겨례리 514-1,033-442-1211,연중개방,상시이용 가능,주차가능,"비수구미, 광덕계곡, 오봉산"
양구군,양구군민공원,강원도 양구군 양구읍 상리,033-480-2251,연중개방,상시이용 가능,주차가능,"국토정중앙천문대, 광치계곡, 펀치볼"
양구군,양구해시계,강원도 양구군 중앙길 53,033-480-2251,연중개방,상시이용 가능,주차가능,"국토정중앙천문대, 광치계곡, 펀치볼"
양구군,용머리공원,강원도 양구군 파로호로869번길 101,033-480-2251,연중개방,상시이용 가능,주차가능,"국토정중앙천문대, 광치계곡, 펀치볼"
양구군,청춘양구레포츠공원,강원도 양구군 박수근로 366-24,033-480-2251,12월~2월,상시이용 가능,주차가능,"파로호, 박수근미술관, 펀치볼"
고성군,거진등대해맞이공원,강원도 고성군 거탄진로209번길 19,033-670-2233,연중개방,상시이용 가능,주차가능,"통일전망대, 송지호 오토캠핑장, 화진포"
춘천시,공지천 조각공원,강원도 춘천시 옛경춘로 880,033-250-3089,연중개방,상시이용 가능,주차가능,"공지천, 송암레포츠 타운, 삼악산"
원주시,장미공원,강원도 원주시 단계동 854,033-734-0978,연중개방,상시이용 가능,주차가능,"박경리문학공원, 덕동계곡, 무릉박물관"
원주시,치악산국립공원 황골지구,강원도 원주시 흥양리 185-1,033-732-2780,연중개방,상시이용 가능,주차가능,"강원도 자연학습원, 치악산 드림랜드, 큰돌농장"
원주시,행구수변공원,강원도 원주시 행구동 1026,033-742-2111,연중개방,상시이용 가능,주차가능,"기후변화 홍보관, 관음사, 충렬사"
강릉시,통일공원,강원도 강릉시 율곡로 1715-38,033-640-4469,연중개방,하절기 09:00~18:00 / 동절기 09:00~17:00,250대 주차가능,"염전해변, 등명락가사, 하슬라아트월드"
강릉시,모래시계공원,강원도 강릉시 헌화로 990-1,033-640-4536,연중개방,상시이용 가능,주차가능,"정동진해변, 정동진 조각공원, 솔향수목원"
동해시,천곡황금박쥐동굴 자연학습 체험공원,강원도 동해시 천곡동 1003,033-539-3630~1,연중개방,상시이용 가능,주차가능,"일출공원, 추암조각공원, 가원습지 생태자연공원"
동해시,추암근린공원,강원도 동해시 촛대바위2길,033-530-2801,연중개방,상시이용 가능,주차가능,"망상해수욕장, 무릉계곡, 묵호등대"
태백시,태백체험공원,강원도 태백시 태백산로 4833,033-550-2094,연중개방,09:00~18:00,주차가능,"석탄박물관, 용연동굴, 구문소"
속초시,설악산국립공원 설악동지구,강원도 속초시 설악산로 1091,033-801-0900,,상시이용 가능,주차가능,"신흥사, 흔들바위, 권금성"
속초시,설악해맞이공원,강원도 속초시 동해대로 3664,033-639-2422,연중개방,상시이용 가능,주차가능,"영금정유원지, 낙산사, 속초등대전망대"
속초시,척산족욕공원,강원 속초시 관광로 277,033-639-2901,연중개방,상시이용 가능,주차가능,"영금정유원지, 낙산사, 청간정"
속초시,청초호 호수공원,"강원도 속초시 청초호반로(교동, 조양동)",033-639-2422,연중개방,상시이용 가능,주차가능,"아바이마을, 속초 엑스포월드랜드, 가을동화촬영지"
삼척시,삼척장미공원,강원도 삼척시 오십천로 586,033-570-4065,연중개방,상시이용 가능,주차가능,"해신당공원, 시립박물관, 태양에너지전시관"
삼척시,이사부사자공원,강원도 삼척시 증산동 15-2,033-573-0561~2,연중개방,상시이용 가능,주차가능,"해신당공원, 해양레일바이크, 삼척해변"
삼척시,해신당공원,강원도 삼척시 삼척로 1852-6,033-572-4429,"매월 18일, 18일이 연휴인 경우 그 다음 평일",09:00~18:00,주차가능,"이사부사자공원, 해양레일바이크, 새천년해안도로"
삼척시,황영조기념공원,강원도 삼척시 초곡길 176,033-576-0009,연중개방,09:00~18:00,주차가능,"환선굴, 장호항, 해신당공원"
홍천군,강재구공원,강원도 홍천군 북방면 성동리 1176-35,033-433-1760,연중개방,09:00~18:00,50대 주차가능,"수타사, 삼봉자연휴양림, 용소계곡"
홍천군,기미만세공원,강원도 홍천군 내촌면 물걸리 596-1,033-430-2544,연중개방,09:00~18:00,50대 주차가능,"수타사, 삼봉자연휴양림, 용소계곡"
홍천군,수타사 생태숲공원,강원도 홍천군 수타사로 473,033-436-6611,연중개방,상시이용 가능,주차가능,"공작산, 대명리조트, 용소계곡"
홍천군,자연환경연구공원,강원도 홍천군 생태공원길 319,033-433-1994,연중개방,하절기 10:00~18:00 / 동절기 10:00~17:00,주차가능,"금학산, 홍천강, 무궁화공원"
평창군,평창 바위공원,강원도 평창군 평창읍 중리 14-4,033-330-2399,연중개방,상시이용 가능,주차가능,"흥정계곡, 이효석문학관, 허브나라"
정선군,타임캡슐공원,강원도 정선군 신동읍 엽기소나무길 518-23,033-375-0121,연중무휴,09:00~18:00,주차가능,에콜리안정선CC
원주시,치악산국립공원 구룡사지구,강원도 원주시 소초면 학곡리 990,033-732-2232,연중개방,상시이용가능,주차가능,"강원도 자연학습원, 치악산 드림랜드, 큰돌농장"
강릉시,오대산국립공원 소금강지구,강원도 강릉시 연곡면 소금강길 500,033-661-4161,연중개방,동절기 05:00~13:00 / 하절기 04:00~14:00,주차가능,"월정사, 대관령자연휴양림, 구룡폭포"
동해시,냉천공원,강원도 동해시 천곡동 933,033-530-2479,연중개방,상시이용 가능,50대 주차가능,"천곡천연동굴, 추암해변, 무릉계곡"
동해시,일출공원,강원도 동해시 해맞이길 267,033-530-2261,연중개방,상시이용 가능,주차가능,"추암조각공원, 묵호등대, 묵호항"
속초시,설악산소공원,강원도 속초시 설악산로 1091,033-801-0900,연중개방,코스별 상이,주차가능,"권금성, 설악산케이블카, 설악산국립공원"
삼척시,비치조각공원,강원도 삼척시 새천년도로 326,033-572-2011,연중개방,상시이용 가능,주차가능,"해신당공원, 수로부인헌화공원, 환선굴"
삼척시,수로부인공원,강원도 삼척시 수로부인길 401,033-575-1330,연중개방,상시이용 가능,주차가능,"수로부인헌화공원, 삼척장미공원, 환선굴"
홍천군,무궁화공원,강원도 홍천군 홍천읍 장전평로 18,033-430-2451,연중개방,상시이용 가능,30대 주차가능,"수타사, 삼봉자연휴양림, 용소계곡"
영월군,영월동강생태공원,강원 영월군 영월읍 동강로 716,033-370-2429,"매주 월요일, 1월 1일",09:00~18:00,주차가능,"어라연, 한반도지형, 장릉"
평창군,가산공원,강원도 평창군 봉평면 창동리 544,033-330-2540,연중개방,상시이용 가능,주차가능,"흥정계곡, 이효석문학관, 허브나라"
철원군,철원승일공원,강원도 철원군 갈말읍 내대리 산147-1,033-450-5151,연중개방,상시이용 가능,주차가능,"승일교, 도피안사, 노동당사"
철원군,철원평화문화광장,강원도 철원군 동송읍 강산리,033-450-5151,연중개방,상시이용 가능,주차가능,"한탄강, 도피안사, 고석정"
강릉시,강릉안목해맞이공원,강원도 강릉시 견소동 287-6,,연중개방,상시이용 가능,주차가능,"정동진, 경포대, 주문진수산시상"
화천군,세계평화의 종공원,강원도 화천군 화천읍 동촌리 2918,033-440-2543,연중개방,09:00~18:00,30~40대 주차가능,"평화의댐, 비목공원, 딴산유원지"
양양군,낙산도립공원,강원도 양양군 일출로 42,033-670-2418,연중개장,상시이용 가능,주차가능,"낙산사, 하조대, 홍련암"
양양군,설악산국립공원 오색지구,강원도 양양군 대청봉길 95,033-672-2883,연중개방,하절기 03:00~17:30 / 동절기 04:00~17:30,주차가능,"용소폭포, 옥녀봉, 오색약수"
양양군,현산공원,강원도 양양군 양양읍 군행리 25-3,033-670-2486,연중개방,상시이용 가능,주차가능,"의상대, 낙산사, 낙산해수욕장"
홍천군,故박정렬여사 추모공원,강원도 홍천군 내면 자운리 1472-9외 1필지,033-430-2471,연중개방,상시이용 가능,주차가능,"무궁화공원, 홍천강, 수타사"
홍천군,동학혁명공원,강원도 홍천군 서석면 풍암리 505-11번지,033-430-2422,연중개방,상시이용 가능,주차가능,"무궁화공원, 홍천강, 은행나무숲"
철원군,군탄공원,강원도 철원군 삼부연로 51,033-450-5228,연중개방,상시이용 가능,주차가능,"고석정, 한탄강, 직탕폭포"
춘천시,강촌 출렁다리공원,강원도 춘천시 남산면 강촌리 671-5,033-250-3075,연중개방,상시이용 가능,주차가능,"강촌유원지, 구곡폭포, 문배마을"
화천군,국제 평화 아트 파크,강원도 화천군 평화로 3518,033-440-2361,연중개방,상시이용 가능,주차가능,"비수구미, 평화의댐, 월하문학관"
화천군,비목공원,강원도 화천군 평화로 3481-18,033-440-2225,연중개방,09:00~17:00,주차가능,"비수구미, 평화의댐, 월하문학관"
강릉시,남산공원,강원도 강릉시 노암동 643,033-640-5293,연중무휴,상시이용 가능,,"정동진, 주문진항, 염전해변"
강릉시,단오공원,강원도 강릉시 노암동 643,033-640-5420,연중무휴,상시이용 가능,주차가능,"강릉 단오문화관, 남산공원, 오성정"
영월군,영월군 금강공원,강원도 영월군 금강공원길 136 단종사,033-374-4215 (종합관광안내소),,상시이용 가능,주차가능,"장릉, 선돌, 보덕사"
영월군,노루조각공원,강원도 영월군 영월읍 영흥리 1079,033-374-4215 (종합관광안내소),,상시이용 가능,주차가능,"고씨굴, 청령포, 김삿갓유적지"
양양군,남대천연어생태공원(억새밭),강원도 양양군 양양읍 조산리 86-7,033-670-2397,,상시이용 가능,,"오색 약수, 갈천 약수, 용소 폭포"
양양군,송이조각공원,강원도 양양군 양양읍 송암리 505-3,,,상시이용 가능,주차가능,"낙산사, 낙산 해변, 동해 신묘"
철원군,문혜 체육공원,강원도 철원군 갈말읍 태봉로 1556,,,상시이용 가능,,"고석정, 순담 계곡, 한탄강 CC"
화천군,물레방아공원,강원도 화천군 화천읍 상승로 95,033-440-2445,,상시이용 가능,주차가능,"낭천산림욕장, 화천향교, 위라리 칠층석탑"
태백시,태백체험공원,강원도 태백시 소도동 3,033-554-3905,연중무휴,09:00~18:00,주차가능,"청원사, 오투리조트 CC, 석탄박물관"
횡성군,횡성 종합운동장 체육공원,강원도 횡성군 횡성읍 문화체육로 47,033-340-5974,,상시이용 가능,주차가능,"운암정, 3.1공원, 횡성 문화원"
춘천시,꿈자람 어린이공원,강원도 춘천시 평화로 25,033-255-2774,매주 월요일,실내 09:00~19:00 / 실외 09:00~18:00,주차가능,"춘천 낭만시장, 소양강 처녀상, 공지천"
평창군,허브나라농원,강원도 평창군 봉평면 흥정계곡길 291-42,033-335-2902,연중무휴,하절기 09:00~18:30 / 동절기 09:00~17:30,주차가능,"흥정 계곡, 흥정 계곡 오토캠핑장, 이효석 생가"
횡성군,횡성레포츠 공원,강원도 횡성군 횡성읍 덕고마을1길 12,033-343-0986,,상시이용 가능,주차가능,"세덕사, 덕고마을, 횡성 시장"
철원군,수현공원,강원도 철원군 근남면 육단리,,,상시이용 가능,주차가능,"인민군 사령부 막사, 감성 테마 문학공원, 하오재 캠핑장"
화천군,장승공원,강원도 화천군 상서면 만산동로 431,,,상시이용 가능,주차가능,"사창지구 전투전적비, 동심산촌랜드, 충렬탑"
원주시,행구수변공원,강원도 원주시 행구동 1206,033-733-1330 (관광안내소),,상시이용 가능,주차가능,"치악산, 박경리문학공원, 치악 민속박물관"
철원군,백골공원,강원도 철원군 서면 자등리 187,,,상시이용 가능,주차가능,"상해계곡, 고석정, 백운계곡"
평창군,평창바위공원,강원도 평창군 평창읍 노람들길 291,033-330-2762,연중무휴,상시이용 가능,주차가능,"월정사, 평창 향교, 무이예술관"
횡성군,삼일공원,강원도 횡성군 횡성읍 읍하리 40,033-340-216,,상시이용 가능,주차가능,"횡성호, 섬강, 태기산"
원주시,원주여성가족공원,강원도 원주시 단관길 53-1,033-733-1330,,상시이용 가능,주차가능,"천매봉, 박경리문학공원, 인터불고 GC"
정선군,아라리공원,강원도 정선군 정선읍 봉양리 113,1544-9053,,상시이용 가능,주차가능,"병방치 스카이워크, 민둥산, 함백산"
춘천시,하중도 수변생태공원,강원도 춘천시 하중도 650-2번지,033-250-3714,,,,"애니메이션박물관,공지천, 스카이워크"
강릉시,월화거리공원,강원도 강릉시 금성로11번길 9,033-640-5643,,제한,남대천 둔치 주차장 및 금성로 공용 주차장 등,"중앙시장, 강릉대도호부관아"
