행정구역,2023년12월_계_총인구수,2023년12월_계_연령구간인구수,2023년12월_계_0~9세,2023년12월_계_10~19세,2023년12월_계_20~29세,2023년12월_계_30~39세,2023년12월_계_40~49세,2023년12월_계_50~59세,2023년12월_계_60~69세,2023년12월_계_70~79세,2023년12월_계_80~89세,2023년12월_계_90~99세,2023년12월_계_100세 이상,2023년12월_남_총인구수,2023년12월_남_연령구간인구수,2023년12월_남_0~9세,2023년12월_남_10~19세,2023년12월_남_20~29세,2023년12월_남_30~39세,2023년12월_남_40~49세,2023년12월_남_50~59세,2023년12월_남_60~69세,2023년12월_남_70~79세,2023년12월_남_80~89세,2023년12월_남_90~99세,2023년12월_남_100세 이상,2023년12월_여_총인구수,2023년12월_여_연령구간인구수,2023년12월_여_0~9세,2023년12월_여_10~19세,2023년12월_여_20~29세,2023년12월_여_30~39세,2023년12월_여_40~49세,2023년12월_여_50~59세,2023년12월_여_60~69세,2023년12월_여_70~79세,2023년12월_여_80~89세,2023년12월_여_90~99세,2023년12월_여_100세 이상,,,,,
경상북도  (4700000000),2554324 ,2554324 ,151926 ,217311 ,248255 ,259154 ,357366 ,444707 ,449427 ,252946 ,150000 ,22667 ,565 ,1290298 ,1290298 ,78092 ,113675 ,142133 ,140706 ,186024 ,230473 ,226589 ,117089 ,50686 ,4777 ,54 ,1264026 ,1264026 ,73834 ,103636 ,106122 ,118448 ,171342 ,214234 ,222838 ,135857 ,99314 ,17890 ,511 ,,,,,
경상북도 경상북도 포항시 (4711000000),493033 ,493033 ,32160 ,45811 ,50035 ,53799 ,73901 ,86723 ,86270 ,43074 ,18642 ,2555 ,63 ,250242 ,250242 ,16702 ,23944 ,29184 ,29339 ,37712 ,43485 ,42119 ,20671 ,6586 ,494 ,6 ,242791 ,242791 ,15458 ,21867 ,20851 ,24460 ,36189 ,43238 ,44151 ,22403 ,12056 ,2061 ,57 ,,,,,
경상북도 경상북도 포항시 남구 (4711100000),226278 ,226278 ,13990 ,20787 ,23786 ,24339 ,34280 ,39930 ,39512 ,20208 ,8368 ,1054 ,24 ,117509 ,117509 ,7273 ,10890 ,14479 ,13580 ,17981 ,20803 ,19538 ,9739 ,3041 ,184 ,1 ,108769 ,108769 ,6717 ,9897 ,9307 ,10759 ,16299 ,19127 ,19974 ,10469 ,5327 ,870 ,23 ,,,,,
경상북도 경상북도 포항시 북구 (4711300000),266755 ,266755 ,18170 ,25024 ,26249 ,29460 ,39621 ,46793 ,46758 ,22866 ,10274 ,1501 ,39 ,132733 ,132733 ,9429 ,13054 ,14705 ,15759 ,19731 ,22682 ,22581 ,10932 ,3545 ,310 ,5 ,134022 ,134022 ,8741 ,11970 ,11544 ,13701 ,19890 ,24111 ,24177 ,11934 ,6729 ,1191 ,34 ,,,,,
경상북도 경상북도 경주시 (4713000000),247489 ,247489 ,13413 ,19526 ,22860 ,23061 ,33201 ,46090 ,46057 ,26218 ,14827 ,2186 ,50 ,123906 ,123906 ,6882 ,10151 ,12878 ,12410 ,17397 ,23702 ,23156 ,11957 ,4905 ,461 ,7 ,123583 ,123583 ,6531 ,9375 ,9982 ,10651 ,15804 ,22388 ,22901 ,14261 ,9922 ,1725 ,43 ,,,,,
경상북도 경상북도 김천시 (4715000000),137515 ,137515 ,8635 ,12176 ,12473 ,13607 ,18464 ,22980 ,24452 ,14342 ,8902 ,1441 ,43 ,69082 ,69082 ,4464 ,6586 ,7034 ,7249 ,9654 ,11946 ,12306 ,6583 ,2930 ,325 ,5 ,68433 ,68433 ,4171 ,5590 ,5439 ,6358 ,8810 ,11034 ,12146 ,7759 ,5972 ,1116 ,38 ,,,,,
경상북도 경상북도 안동시 (4717000000),152935 ,152935 ,8460 ,12906 ,14966 ,13941 ,20258 ,25529 ,27189 ,17124 ,10850 ,1677 ,35 ,75538 ,75538 ,4372 ,6802 ,8059 ,7405 ,10299 ,13291 ,13444 ,7720 ,3787 ,355 ,4 ,77397 ,77397 ,4088 ,6104 ,6907 ,6536 ,9959 ,12238 ,13745 ,9404 ,7063 ,1322 ,31 ,,,,,
경상북도 경상북도 구미시 (4719000000),405506 ,405506 ,32574 ,43706 ,49373 ,58854 ,71465 ,71204 ,49085 ,18473 ,9337 ,1394 ,41 ,209131 ,209131 ,16682 ,22719 ,28537 ,31770 ,36364 ,35901 ,25319 ,8561 ,3002 ,274 ,2 ,196375 ,196375 ,15892 ,20987 ,20836 ,27084 ,35101 ,35303 ,23766 ,9912 ,6335 ,1120 ,39 ,,,,,
경상북도 경상북도 영주시 (4721000000),100199 ,100199 ,4901 ,8784 ,8941 ,7577 ,12347 ,17184 ,19221 ,12323 ,7708 ,1181 ,32 ,49730 ,49730 ,2544 ,4652 ,5116 ,4179 ,6304 ,8918 ,9395 ,5600 ,2756 ,260 ,6 ,50469 ,50469 ,2357 ,4132 ,3825 ,3398 ,6043 ,8266 ,9826 ,6723 ,4952 ,921 ,26 ,,,,,
경상북도 경상북도 영천시 (4723000000),100212 ,100212 ,4975 ,6291 ,8239 ,8640 ,11548 ,17716 ,20593 ,13196 ,7900 ,1099 ,15 ,51137 ,51137 ,2538 ,3303 ,4939 ,4723 ,6398 ,9544 ,10631 ,6185 ,2631 ,244 ,1 ,49075 ,49075 ,2437 ,2988 ,3300 ,3917 ,5150 ,8172 ,9962 ,7011 ,5269 ,855 ,14 ,,,,,
경상북도 경상북도 상주시 (4725000000),93858 ,93858 ,4282 ,7215 ,6898 ,6501 ,10345 ,15483 ,19811 ,12614 ,9114 ,1549 ,46 ,46166 ,46166 ,2218 ,3780 ,4013 ,3498 ,5456 ,8204 ,10018 ,5725 ,2949 ,304 ,1 ,47692 ,47692 ,2064 ,3435 ,2885 ,3003 ,4889 ,7279 ,9793 ,6889 ,6165 ,1245 ,45 ,,,,,
경상북도 경상북도 문경시 (4728000000),68755 ,68755 ,3241 ,5160 ,5438 ,4958 ,7841 ,11285 ,14359 ,9325 ,6192 ,923 ,33 ,33775 ,33775 ,1667 ,2798 ,3055 ,2625 ,4135 ,5910 ,7175 ,4181 ,2028 ,197 ,4 ,34980 ,34980 ,1574 ,2362 ,2383 ,2333 ,3706 ,5375 ,7184 ,5144 ,4164 ,726 ,29 ,,,,,
경상북도 경상북도 경산시 (4729000000),266205 ,266205 ,16781 ,22718 ,35159 ,30931 ,39488 ,46646 ,40118 ,21707 ,11187 ,1436 ,34 ,133847 ,133847 ,8543 ,11619 ,19330 ,16940 ,20261 ,23281 ,19806 ,9785 ,3955 ,326 ,1 ,132358 ,132358 ,8238 ,11099 ,15829 ,13991 ,19227 ,23365 ,20312 ,11922 ,7232 ,1110 ,33 ,,,,,
경상북도 경상북도 의성군 (4773000000),50086 ,50086 ,1635 ,2108 ,2513 ,2865 ,4163 ,7817 ,12512 ,8730 ,6690 ,1025 ,28 ,24808 ,24808 ,848 ,1117 ,1457 ,1603 ,2428 ,4374 ,6471 ,4028 ,2255 ,225 ,2 ,25278 ,25278 ,787 ,991 ,1056 ,1262 ,1735 ,3443 ,6041 ,4702 ,4435 ,800 ,26 ,,,,,
경상북도 경상북도 청송군 (4775000000),24019 ,24019 ,822 ,1056 ,1365 ,1503 ,2078 ,4068 ,5917 ,3987 ,2822 ,396 ,5 ,12063 ,12063 ,426 ,546 ,826 ,923 ,1159 ,2227 ,3026 ,1858 ,977 ,94 ,1 ,11956 ,11956 ,396 ,510 ,539 ,580 ,919 ,1841 ,2891 ,2129 ,1845 ,302 ,4 ,,,,,
경상북도 경상북도 영양군 (4776000000),15661 ,15661 ,528 ,871 ,866 ,882 ,1410 ,2668 ,3714 ,2471 ,1955 ,283 ,13 ,7805 ,7805 ,266 ,449 ,495 ,489 ,813 ,1551 ,1904 ,1127 ,658 ,51 ,2 ,7856 ,7856 ,262 ,422 ,371 ,393 ,597 ,1117 ,1810 ,1344 ,1297 ,232 ,11 ,,,,,
경상북도 경상북도 영덕군 (4777000000),34055 ,34055 ,1215 ,1860 ,1959 ,1963 ,3262 ,5711 ,7561 ,5557 ,4323 ,629 ,15 ,16232 ,16232 ,596 ,962 ,1144 ,1036 ,1735 ,3127 ,3741 ,2391 ,1362 ,138 ,0 ,17823 ,17823 ,619 ,898 ,815 ,927 ,1527 ,2584 ,3820 ,3166 ,2961 ,491 ,15 ,,,,,
경상북도 경상북도 청도군 (4782000000),41316 ,41316 ,1237 ,2125 ,2229 ,2297 ,3928 ,6850 ,10203 ,7036 ,4582 ,812 ,17 ,20493 ,20493 ,637 ,1086 ,1278 ,1258 ,2195 ,3652 ,5296 ,3366 ,1563 ,161 ,1 ,20823 ,20823 ,600 ,1039 ,951 ,1039 ,1733 ,3198 ,4907 ,3670 ,3019 ,651 ,16 ,,,,,
경상북도 경상북도 고령군 (4783000000),30139 ,30139 ,1068 ,1770 ,2066 ,1842 ,3242 ,5534 ,6959 ,4363 ,2858 ,429 ,8 ,15477 ,15477 ,543 ,950 ,1203 ,1012 ,1781 ,3133 ,3731 ,2083 ,945 ,96 ,0 ,14662 ,14662 ,525 ,820 ,863 ,830 ,1461 ,2401 ,3228 ,2280 ,1913 ,333 ,8 ,,,,,
경상북도 경상북도 성주군 (4784000000),42086 ,42086 ,1509 ,2125 ,2608 ,2952 ,4181 ,7562 ,10446 ,6378 ,3684 ,627 ,14 ,22000 ,22000 ,764 ,1130 ,1596 ,1681 ,2458 ,4238 ,5636 ,3094 ,1264 ,135 ,4 ,20086 ,20086 ,745 ,995 ,1012 ,1271 ,1723 ,3324 ,4810 ,3284 ,2420 ,492 ,10 ,,,,,
경상북도 경상북도 칠곡군 (4785000000),110581 ,110581 ,6851 ,10934 ,10205 ,11844 ,19634 ,20918 ,16359 ,8065 ,4972 ,773 ,26 ,57966 ,57966 ,3502 ,5757 ,6036 ,6500 ,10562 ,11358 ,8668 ,3786 ,1621 ,175 ,1 ,52615 ,52615 ,3349 ,5177 ,4169 ,5344 ,9072 ,9560 ,7691 ,4279 ,3351 ,598 ,25 ,,,,,
경상북도 경상북도 예천군 (4790000000),55325 ,55325 ,3978 ,4693 ,3792 ,5046 ,7111 ,7752 ,10050 ,6724 ,5317 ,844 ,18 ,27224 ,27224 ,1986 ,2430 ,2140 ,2596 ,3637 ,4202 ,5100 ,3126 ,1828 ,176 ,3 ,28101 ,28101 ,1992 ,2263 ,1652 ,2450 ,3474 ,3550 ,4950 ,3598 ,3489 ,668 ,15 ,,,,,
경상북도 경상북도 봉화군 (4792000000),29603 ,29603 ,971 ,1718 ,1589 ,1496 ,2723 ,4992 ,7449 ,4608 ,3481 ,563 ,13 ,15090 ,15090 ,531 ,874 ,961 ,856 ,1560 ,2793 ,3974 ,2211 ,1191 ,138 ,1 ,14513 ,14513 ,440 ,844 ,628 ,640 ,1163 ,2199 ,3475 ,2397 ,2290 ,425 ,12 ,,,,,
경상북도 경상북도 울진군 (4793000000),46669 ,46669 ,2380 ,3317 ,3887 ,3782 ,5581 ,8174 ,9148 ,5511 ,4119 ,754 ,16 ,23553 ,23553 ,1214 ,1803 ,2351 ,2113 ,2978 ,4552 ,4621 ,2513 ,1280 ,126 ,2 ,23116 ,23116 ,1166 ,1514 ,1536 ,1669 ,2603 ,3622 ,4527 ,2998 ,2839 ,628 ,14 ,,,,,
경상북도 경상북도 울릉군 (4794000000),9077 ,9077 ,310 ,441 ,794 ,813 ,1195 ,1821 ,1954 ,1120 ,538 ,91 ,0 ,5033 ,5033 ,167 ,217 ,501 ,501 ,738 ,1084 ,1052 ,538 ,213 ,22 ,0 ,4044 ,4044 ,143 ,224 ,293 ,312 ,457 ,737 ,902 ,582 ,325 ,69 ,0 ,,,,,