행정구역,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총인구수,연령구간인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,sum_60,sum_0_20,sum_20_60,oldAgePercent,childAgePercent,adultAgePercent
충청남도  ,2130119,2130119,143771,202057,225658,251099,323996,350093,325082,178624,110575,18670,494,1091570,1091570,73713,104493,125506,136399,172380,185944,165155,84068,39366,4478,68,1038549,1038549,70058,97564,100152,114700,151616,164149,159927,94556,71209,14192,426,633445,345828,1150846,29.737540484827374,16.23514930386518,54.027310211307444
천안시 ,655959,655959,49866,67542,89668,96930,111427,108174,78573,33572,17435,2692,80,336169,336169,25607,34800,47890,52017,58159,55319,39889,15703,6176,599,10,319790,319790,24259,32742,41778,44913,53268,52855,38684,17869,11259,2093,70,132352,117408,406199,20.17687081052322,17.898679643087448,61.92444954638934
천안시 동남구 ,256691,256691,16198,25365,33420,30916,40809,44828,37385,17221,9067,1438,44,130122,130122,8286,13112,17718,16588,21003,22861,18806,8144,3264,334,6,126569,126569,7912,12253,15702,14328,19806,21967,18579,9077,5803,1104,38,65155,41563,149973,25.38265852717859,16.191841552683968,58.42549992013745
천안시 서북구 ,399268,399268,33668,42177,56248,66014,70618,63346,41188,16351,8368,1254,36,206047,206047,17321,21688,30172,35429,37156,32458,21083,7559,2912,265,4,193221,193221,16347,20489,26076,30585,33462,30888,20105,8792,5456,989,32,67197,75845,256226,16.83004898965106,18.996012703246944,64.17393830710199
공주시 ,102104,102104,4444,7880,10921,8314,11937,17149,20650,11779,7605,1386,39,50924,50924,2288,4119,5754,4540,6275,8843,10402,5625,2715,356,7,51180,51180,2156,3761,5167,3774,5662,8306,10248,6154,4890,1030,32,41459,12324,48321,40.60467758364021,12.07004622737601,47.325276188983786
보령시 ,95772,95772,4822,7615,7974,8068,12455,16428,18746,11551,6948,1135,30,48494,48494,2420,3966,4545,4496,6786,8823,9392,5277,2504,280,5,47278,47278,2402,3649,3429,3572,5669,7605,9354,6274,4444,855,25,38410,12437,44925,40.10566762728146,12.986050202564423,46.908282170154116
아산시 ,345796,345796,30810,38366,38027,50783,62699,53020,39436,19766,11101,1743,45,180223,180223,15910,19686,21269,27109,33817,28747,20193,9057,4040,388,7,165573,165573,14900,18680,16758,23674,28882,24273,19243,10709,7061,1355,38,72091,69176,204529,20.84784092,20.00485835579359,59.147300720656105
서산시 ,176011,176011,12756,17021,17500,20495,26985,29821,26085,14523,9119,1663,43,92112,92112,6518,8868,10670,11690,14332,16030,13264,7039,3323,375,3,83899,83899,6238,8153,6830,8805,12653,13791,12821,7484,5796,1288,40,51433,29777,94801,29.221469112725913,16.917692644209737,53.86083824306436
논산시 ,110423,110423,5609,8866,9673,9286,13454,18684,21728,12981,8602,1505,35,55187,55187,2880,4584,5414,4997,7126,9819,11075,6005,2927,354,6,55236,55236,2729,4282,4259,4289,6328,8865,10653,6976,5675,1151,29,44851,14475,51097,40.61744382963694,13.108682068047417,46.273874102315645
계룡시 ,46667,46667,3768,6278,4907,5418,8493,8055,5737,2535,1253,215,8,23294,23294,1906,3285,2751,2798,4118,4038,2722,1223,410,41,2,23373,23373,1862,2993,2156,2620,4375,4017,3015,1312,843,174,6,9748,10046,26873,20.88842222555553,21.52698909293505,57.584588681509416
당진시 ,170302,170302,12987,16497,14828,20560,28001,28202,25079,13800,8903,1404,41,90987,90987,6635,8563,8806,11795,15734,16008,13159,6676,3254,355,2,79315,79315,6352,7934,6022,8765,12267,12194,11920,7124,5649,1049,39,49227,29484,91591,28.905708682223345,17.312773778346703,53.781517539429956
금산군 ,50093,50093,1900,4043,3392,3136,5480,8817,11076,6863,4657,707,22,25355,25355,931,2136,1952,1667,2987,4851,5823,3248,1577,180,3,24738,24738,969,1907,1440,1469,2493,3966,5253,3615,3080,527,19,23325,5943,20825,46.563392090711275,11.86393308,41.572674824825825
부여군 ,61046,61046,2155,4072,4313,3648,6110,9763,13854,9238,6625,1238,30,30417,30417,1135,2169,2500,1970,3353,5233,7011,4352,2370,321,3,30629,30629,1020,1903,1813,1678,2757,4530,6843,4886,4255,917,27,30985,6227,23834,50.75680634275792,10.200504537561839,39.04268911968024
서천군 ,49116,49116,1784,3085,3148,2953,4909,7830,10889,7856,5563,1077,22,24257,24257,896,1571,1828,1640,2665,4253,5522,3664,1963,252,3,24859,24859,888,1514,1320,1313,2244,3577,5367,4192,3600,825,19,25407,4869,18840,51.72856095773272,9.913266552650867,38.358172489616415
청양군 ,30168,30168,970,1924,2471,1841,2720,4905,6865,4419,3416,629,8,15427,15427,497,1023,1460,1023,1569,2778,3557,2145,1190,182,3,14741,14741,473,901,1011,818,1151,2127,3308,2274,2226,447,5,15337,2894,11937,50.83863696632193,9.592946168125167,39.568416865552905
홍성군 ,97524,97524,6268,9320,8620,9340,13492,15642,16547,10168,6935,1154,38,48677,48677,3239,4774,4755,4960,6882,8354,8280,4732,2408,289,4,48847,48847,3029,4546,3865,4380,6610,7288,8267,5436,4527,865,34,34842,15588,47094,35.72659037775317,15.983757844222959,48.289651778023874
예산군 ,78354,78354,3307,5510,5961,6233,8879,13156,16389,10509,7199,1178,33,39285,39285,1680,2874,3350,3408,4738,7158,8238,4912,2630,293,4,39069,39069,1627,2636,2611,2825,4141,5998,8151,5597,4569,885,29,35308,8817,34229,45.06215381473824,11.252775863389234,43.68507032187253
태안군 ,60784,60784,2325,4038,4255,4094,6955,10447,13428,9064,5214,944,20,30762,30762,1171,2075,2562,2289,3839,5690,6628,4410,1879,213,6,30022,30022,1154,1963,1693,1805,3116,4757,6800,4654,3335,731,14,28670,6363,25751,47.16701763622006,10.468215319821006,42.364767043958935
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,